iter	Passed	Remaining
0	60	60076
1	60	30143
2	60	20163
3	60	15171
4	61	12172
5	61	10171
6	61	8742
7	61	7670
8	62	6836
9	62	6167
10	62	5622
11	62	5166
12	62	4780
13	63	4458
14	63	4174
15	63	3922
16	63	3699
17	64	3503
18	64	3327
19	64	3169
20	64	3025
21	65	2895
22	65	2780
23	65	2671
24	65	2571
25	66	2484
26	66	2403
27	67	2327
28	67	2261
29	67	2195
30	68	2131
31	68	2070
32	68	2012
33	68	1958
34	69	1908
35	69	1861
36	69	1815
37	70	1773
38	70	1734
39	71	1727
40	72	1704
41	73	1670
42	73	1639
43	73	1606
44	74	1574
45	74	1543
46	74	1513
47	74	1484
48	75	1457
49	75	1432
50	75	1407
51	75	1382
52	76	1359
53	76	1337
54	76	1317
55	76	1297
56	77	1283
57	77	1264
58	78	1247
59	78	1230
60	78	1212
61	79	1195
62	79	1178
63	79	1161
64	79	1148
65	80	1132
66	80	1117
67	80	1103
68	80	1090
69	81	1076
70	81	1064
71	81	1051
72	81	1040
73	82	1028
74	82	1018
75	82	1008
76	83	999
77	83	988
78	83	977
79	84	966
80	84	957
81	84	948
82	84	937
83	85	929
84	85	921
85	85	913
86	86	904
87	86	896
88	86	888
89	87	887
90	88	879
91	88	871
92	88	863
93	88	855
94	89	848
95	89	841
96	89	834
97	89	827
98	90	820
99	90	813
100	90	807
101	90	800
102	91	794
103	91	787
104	91	781
105	91	775
106	92	769
107	92	763
108	92	758
109	93	752
110	93	747
111	93	744
112	94	739
113	94	734
114	94	729
115	95	724
116	95	718
117	95	713
118	95	708
119	95	703
120	96	699
121	96	694
122	96	689
123	97	685
124	97	681
125	97	677
126	97	672
127	98	669
128	98	666
129	99	662
130	99	659
131	99	655
132	99	651
133	100	647
134	100	643
135	100	639
136	100	636
137	101	632
138	101	629
139	101	625
140	102	622
141	102	617
142	102	614
143	102	611
144	103	608
145	103	605
146	103	602
147	104	599
148	104	595
149	104	592
150	104	589
151	105	586
152	105	583
153	105	580
154	106	577
155	106	575
156	106	572
157	106	570
158	107	567
159	107	565
160	107	562
161	108	559
162	108	557
163	108	555
164	109	552
165	109	549
166	109	547
167	109	544
168	110	541
169	110	539
170	110	536
171	110	534
172	111	531
173	111	529
174	111	526
175	112	525
176	112	523
177	112	521
178	113	519
179	113	517
180	113	515
181	114	513
182	114	510
183	114	508
184	114	506
185	115	504
186	115	502
187	115	500
188	116	498
189	116	496
190	116	493
191	116	491
192	117	489
193	117	488
194	117	486
195	118	485
196	118	483
197	118	481
198	119	479
199	119	477
200	119	475
201	120	474
202	120	472
203	120	470
204	120	468
205	121	466
206	121	465
207	121	463
208	121	461
209	122	459
210	122	458
211	122	456
212	123	454
213	123	453
214	123	451
215	123	449
216	124	447
217	124	445
218	124	444
219	124	442
220	125	441
221	125	439
222	125	437
223	125	436
224	126	434
225	126	433
226	126	431
227	127	430
228	127	429
229	127	427
230	128	426
231	128	425
232	128	423
233	129	422
234	129	421
235	129	420
236	130	418
237	130	417
238	130	415
239	130	414
240	131	412
241	131	411
242	131	409
243	131	408
244	132	407
245	132	406
246	132	405
247	133	404
248	133	403
249	134	402
250	134	400
251	134	399
252	134	397
253	135	396
254	135	395
255	135	394
256	135	393
257	136	391
258	136	390
259	136	389
260	136	387
261	137	386
262	137	385
263	137	384
264	138	383
265	138	381
266	138	380
267	138	379
268	139	378
269	139	376
270	139	375
271	139	374
272	140	373
273	140	372
274	140	370
275	140	369
276	141	368
277	141	367
278	141	366
279	142	365
280	142	364
281	142	363
282	143	362
283	143	361
284	143	360
285	143	359
286	144	358
287	144	357
288	144	356
289	144	354
290	145	353
291	145	352
292	145	351
293	146	351
294	146	350
295	146	349
296	147	348
297	147	347
298	147	346
299	148	345
300	148	344
301	148	343
302	148	342
303	149	341
304	149	340
305	149	339
306	149	338
307	150	337
308	150	336
309	150	335
310	150	334
311	151	333
312	151	332
313	151	331
314	151	330
315	152	329
316	152	328
317	152	327
318	152	326
319	153	325
320	153	324
321	153	323
322	153	322
323	154	321
324	154	320
325	154	319
326	155	319
327	155	318
328	155	317
329	155	316
330	156	315
331	156	314
332	156	313
333	156	312
334	157	311
335	157	310
336	157	309
337	157	309
338	158	308
339	158	307
340	158	306
341	158	305
342	159	304
343	159	304
344	159	303
345	160	302
346	160	301
347	160	300
348	160	300
349	161	299
350	161	298
351	161	297
352	162	297
353	162	296
354	162	296
355	163	295
356	163	294
357	163	293
358	164	293
359	164	292
